,0,1,2,3,4,5,6,7,8,9,10,11
0,Type,Seed,"Parameters (Task, Number of features, Tolerance, c value, Ten Fold)",Accuracy,Precision,F_Score,Recall,ROC_Area,TP Rate,FP Rate,Confusion_Matrix,Classification_Report
0,Linear,818,"[4, 2304, 0.001, 0.1, False]",0.822425952045134,0.836032337454829,0.8251306336250944,0.822425952045134,0.956544886816249,"[0.70748299 0.8107275  0.7875895  0.94007859 0.84543011 0.68965517
 0.82008368 0.62804878 0.76549865 0.88181818]","[0.01094628 0.03127286 0.02807536 0.05023057 0.03409497 0.01886249
 0.01722376 0.00418712 0.00818574 0.00451237]","[[ 104   32    1    3    7    0    0    0    0    0]
 [  28 1315  117   53   79   14    7    0    4    5]
 [   9   41 1320  197   83   17    1    2    4    2]
 [   8    5    7  957   15    5   11    2    5    3]
 [  25   52   24   46 1258   70    6    1    0    6]
 [   0    0    1    0    0  100   41    1    1    1]
 [   1    9    0    1    1    2  196   22    5    2]
 [   0   29    0    0    1    1    4  103   26    0]
 [   5    0    1    3    3   15   47    1  284   12]
 [   0    3    1    2    2    7    1    0   10  194]]","              precision    recall  f1-score   support

           0       0.58      0.71      0.64       147
           1       0.88      0.81      0.85      1622
           2       0.90      0.79      0.84      1676
           3       0.76      0.94      0.84      1018
           4       0.87      0.85      0.86      1488
           5       0.43      0.69      0.53       145
           6       0.62      0.82      0.71       239
           7       0.78      0.63      0.70       164
           8       0.84      0.77      0.80       371
           9       0.86      0.88      0.87       220

    accuracy                           0.82      7090
   macro avg       0.75      0.79      0.76      7090
weighted avg       0.84      0.82      0.83      7090
"
0,Linear,818,"[4, 5, 0.001, 0.1, False]",0.19732016925246826,0.23705692465100553,0.1546690919010294,0.19732016925246826,0.6833715699889157,"[0.08783784 0.06146281 0.08358209 0.74976122 0.06237288 0.02112676
 0.19591837 0.04046243 0.51944444 0.12121212]","[0.04235091 0.04155226 0.05392428 0.38192951 0.08192342 0.04936672
 0.0734843  0.04553997 0.09375929 0.04614045]","[[ 13   8  10  29  24   9  15  16  10  14]
 [ 96 100 118 460 165 122 158  81 227 100]
 [ 85  93 140 709 161  74 143  72 102  96]
 [ 26  27  32 785  69  20  61   5  11  11]
 [ 37  57  83 919  92  39  76  35  64  73]
 [  2   2   2  51   3   3   2  17  54   6]
 [ 17  10   8  74  10  24  48  23  25   6]
 [ 15  13  14   7   5  21  23   7  66   2]
 [ 11  10  16  55  13  14   8  36 187  10]
 [  5   7   9   4  10  20  17  30  72  24]]","              precision    recall  f1-score   support

           0       0.04      0.09      0.06       148
           1       0.31      0.06      0.10      1627
           2       0.32      0.08      0.13      1675
           3       0.25      0.75      0.38      1047
           4       0.17      0.06      0.09      1475
           5       0.01      0.02      0.01       142
           6       0.09      0.20      0.12       245
           7       0.02      0.04      0.03       173
           8       0.23      0.52      0.32       360
           9       0.07      0.12      0.09       198

    accuracy                           0.20      7090
   macro avg       0.15      0.19      0.13      7090
weighted avg       0.24      0.20      0.15      7090
"
0,Linear,818,"[4, 10, 0.001, 0.1, False]",0.2145275035260931,0.27560214397935556,0.1795537731317395,0.2145275035260931,0.6750835588270411,"[0.17730496 0.02226345 0.09128878 0.66699029 0.22214898 0.06944444
 0.17621145 0.20805369 0.44240838 0.15942029]","[0.0719528  0.01553079 0.04562246 0.33217822 0.17136192 0.04146271
 0.05638933 0.06094223 0.07811568 0.02135697]","[[ 25   1  13  23  41   7   7   2  16   6]
 [215  36  99 385 274 112 128 150 176  42]
 [137  47 153 577 362  43 111  60 143  43]
 [ 19  14  29 687 174  16  54   8   4  25]
 [ 28  12  68 867 337  22  44  37  87  15]
 [  6   1   3  52   9  10   1  42  16   4]
 [ 18   2  11  54  40  24  40  15  20   3]
 [ 35   3   5   3  12   9  26  31  20   5]
 [ 27   1   6  50  30  28   9  58 169   4]
 [ 15   4  13   2  13  27   7  51  42  33]]","              precision    recall  f1-score   support

           0       0.05      0.18      0.08       141
           1       0.30      0.02      0.04      1617
           2       0.38      0.09      0.15      1676
           3       0.25      0.67      0.37      1030
           4       0.26      0.22      0.24      1517
           5       0.03      0.07      0.05       144
           6       0.09      0.18      0.12       227
           7       0.07      0.21      0.10       149
           8       0.24      0.44      0.31       382
           9       0.18      0.16      0.17       207

    accuracy                           0.21      7090
   macro avg       0.19      0.22      0.16      7090
weighted avg       0.28      0.21      0.18      7090
"
0,Linear,818,"[4, 20, 0.001, 0.1, False]",0.252327221438646,0.30148499451505584,0.2111938420676045,0.252327221438646,0.7204463251213142,"[0.21854305 0.030191   0.08103347 0.67931689 0.31509695 0.10958904
 0.26470588 0.26380368 0.46849315 0.51724138]","[0.07753279 0.01810865 0.04640802 0.29390325 0.17321998 0.03945853
 0.06202569 0.04085463 0.06483271 0.03542907]","[[ 33   8  13  18  58   1   2   6   2  10]
 [277  49 109 349 337  74 101 103 143  81]
 [196  61 138 521 426  48 125  37 105  46]
 [ 34  19  34 716  87  28  79   8  23  26]
 [ 17   6  61 758 455  25  37  16  45  24]
 [  0   0   6  45   4  16  16  36  20   3]
 [ 11   2   8  39  25  20  63  41  16  13]
 [  0   0   3   0  11  19  31  43  39  17]
 [  1   1  11  42  20  44  29  22 171  24]
 [  2   2   5   2  10  15   5  14  43 105]]","              precision    recall  f1-score   support

           0       0.06      0.22      0.09       151
           1       0.33      0.03      0.06      1623
           2       0.36      0.08      0.13      1703
           3       0.29      0.68      0.40      1054
           4       0.32      0.32      0.32      1444
           5       0.06      0.11      0.07       146
           6       0.13      0.26      0.17       238
           7       0.13      0.26      0.18       163
           8       0.28      0.47      0.35       365
           9       0.30      0.52      0.38       203

    accuracy                           0.25      7090
   macro avg       0.22      0.29      0.22      7090
weighted avg       0.30      0.25      0.21      7090
"
0,Linear,818,"[4, 50, 0.001, 0.1, False]",0.4623413258110014,0.5634323115184524,0.45625978565781583,0.4623413258110014,0.8549099447017868,"[0.5106383  0.21814904 0.44190247 0.78315586 0.4205163  0.46478873
 0.62348178 0.63636364 0.53298153 0.82795699]","[0.05022305 0.02432731 0.06170565 0.215123   0.11552154 0.02374784
 0.04617858 0.03436823 0.01624199 0.03128621]","[[ 72   6   1   4  49   0   1   4   1   3]
 [225 363 135 245 306  66  79 127  40  78]
 [ 61  41 734 365 231  11 113  39  31  35]
 [  0   8  99 809  19  23  46   0   2  27]
 [ 45  61  52 602 619  12  28  13  15  25]
 [  0   0   6  38   5  66   7  12   4   4]
 [  9   5   2  23   3   9 154  29  10   3]
 [  1   3  15   0   8  12  19 105   1   1]
 [  5   7  14  24  23  30  20  14 202  40]
 [  3   1  11   2   5   2   3   0   5 154]]","              precision    recall  f1-score   support

           0       0.17      0.51      0.26       141
           1       0.73      0.22      0.34      1664
           2       0.69      0.44      0.54      1661
           3       0.38      0.78      0.51      1033
           4       0.49      0.42      0.45      1472
           5       0.29      0.46      0.35       142
           6       0.33      0.62      0.43       247
           7       0.31      0.64      0.41       165
           8       0.65      0.53      0.59       379
           9       0.42      0.83      0.55       186

    accuracy                           0.46      7090
   macro avg       0.44      0.55      0.44      7090
weighted avg       0.56      0.46      0.46      7090
"
0,Linear,818,"[4, 200, 0.001, 0.1, False]",0.6770098730606487,0.718453950205914,0.6806761351641746,0.6770098730606487,0.9273422191260438,"[0.75886525 0.55548926 0.61165644 0.8148855  0.74829001 0.65562914
 0.79148936 0.56329114 0.65364583 0.93658537]","[0.02518348 0.03361655 0.06190476 0.12264151 0.06432125 0.01080847
 0.02902991 0.01283901 0.00357888 0.01525054]","[[ 107    5    1    0   24    0    2    0    0    2]
 [  92  931  138  176  184   30   40   40   17   28]
 [  11   97  997  315  127   11   45   12    0   15]
 [   0    9  133  854   11    5   26    0    0   10]
 [  54   39   42  191 1094    2   22    1    1   16]
 [   1    0    5   35    6   99    4    1    0    0]
 [   9    5    0    6    1    8  186   12    2    6]
 [   0   22    4    1    5    1   32   89    0    4]
 [   6    2   14   16    2   18   28   23  251   24]
 [   2    3    1    1    2    0    0    0    4  192]]","              precision    recall  f1-score   support

           0       0.38      0.76      0.51       141
           1       0.84      0.56      0.67      1676
           2       0.75      0.61      0.67      1630
           3       0.54      0.81      0.65      1048
           4       0.75      0.75      0.75      1462
           5       0.57      0.66      0.61       151
           6       0.48      0.79      0.60       235
           7       0.50      0.56      0.53       158
           8       0.91      0.65      0.76       384
           9       0.65      0.94      0.76       205

    accuracy                           0.68      7090
   macro avg       0.64      0.71      0.65      7090
weighted avg       0.72      0.68      0.68      7090
"
0,Linear,818,"[4, 500, 0.001, 0.1, False]",0.7235543018335684,0.75008471620703,0.7255509136845324,0.7235543018335684,0.9447290955999504,"[0.76351351 0.6539185  0.60035108 0.84245917 0.82428765 0.5751634
 0.81069959 0.78125    0.71857923 0.91044776]","[0.02736963 0.04131028 0.05407917 0.10150438 0.05466524 0.00504541
 0.01898642 0.00707071 0.00520523 0.01190303]","[[ 113   10    0    0   25    0    0    0    0    0]
 [  98 1043  120  105  165    4   18   17   10   15]
 [  26  124 1026  353  103   10   47    2    6   12]
 [   3   14  107  877    5    5   14    1    3   12]
 [  46   41   48  100 1215    3    5    0    2   14]
 [   0    0    2   33    6   88   20    3    0    1]
 [   9    6    0    7    1    0  197   15    5    3]
 [   0   27    1    0    0    0    5  125    0    2]
 [   7    3   11   15    2   13   19   10  263   23]
 [   1    2    2    1    0    0    2    1    9  183]]","              precision    recall  f1-score   support

           0       0.37      0.76      0.50       148
           1       0.82      0.65      0.73      1595
           2       0.78      0.60      0.68      1709
           3       0.59      0.84      0.69      1041
           4       0.80      0.82      0.81      1474
           5       0.72      0.58      0.64       153
           6       0.60      0.81      0.69       243
           7       0.72      0.78      0.75       160
           8       0.88      0.72      0.79       366
           9       0.69      0.91      0.79       201

    accuracy                           0.72      7090
   macro avg       0.70      0.75      0.71      7090
weighted avg       0.75      0.72      0.73      7090
"
0,Linear,818,"[4, 2304, 0.001, 0.2, False]",0.840197461212976,0.8501023064044232,0.8423599707569512,0.840197461212976,0.9574511940454191,"[0.69387755 0.83107275 0.81622912 0.9518664  0.8561828  0.70344828
 0.79497908 0.62195122 0.82749326 0.88636364]","[0.00965001 0.03072421 0.02678242 0.0411726  0.02963227 0.01785457
 0.01445045 0.00519781 0.00803691 0.00349345]","[[ 102   36    1    3    5    0    0    0    0    0]
 [  23 1348  118   40   69   11    6    0    3    4]
 [  11   37 1368  170   70   12    1    2    4    1]
 [   6    5    1  969   15    5    8    2    5    2]
 [  23   49   22   32 1274   77    6    1    0    4]
 [   0    0    1    1    0  102   36    2    1    2]
 [   1    9    0    1    2    2  190   28    4    2]
 [   0   29    0    0    0    1    5  102   27    0]
 [   3    0    1    1    3   10   36    1  307    9]
 [   0    3    1    2    2    6    1    0   10  195]]","              precision    recall  f1-score   support

           0       0.60      0.69      0.65       147
           1       0.89      0.83      0.86      1622
           2       0.90      0.82      0.86      1676
           3       0.79      0.95      0.87      1018
           4       0.88      0.86      0.87      1488
           5       0.45      0.70      0.55       145
           6       0.66      0.79      0.72       239
           7       0.74      0.62      0.68       164
           8       0.85      0.83      0.84       371
           9       0.89      0.89      0.89       220

    accuracy                           0.84      7090
   macro avg       0.77      0.80      0.78      7090
weighted avg       0.85      0.84      0.84      7090
"
0,Linear,818,"[4, 5, 0.001, 0.2, False]",0.2009873060648801,0.2461865872034791,0.16302557855062877,0.2009873060648801,0.6875355794193919,"[0.10135135 0.06084819 0.09014925 0.72588348 0.08135593 0.02112676
 0.2244898  0.02890173 0.50833333 0.17171717]","[0.04537597 0.03972176 0.05595568 0.35975509 0.09492431 0.04735176
 0.07947407 0.04467255 0.08677563 0.05179919]","[[ 15   9   8  25  27   7  16  13  10  18]
 [111  99 122 414 199 121 161  88 206 106]
 [ 92  88 151 676 180  66 153  67  95 107]
 [ 27  27  35 760  84  18  70   6   9  11]
 [ 37  50  90 886 120  36  80  31  60  85]
 [  4   1   3  48   2   3   6  21  51   3]
 [ 16  10   6  65  13  25  55  25  23   7]
 [ 13  14  17   7   3  20  24   5  62   8]
 [  9  11  13  49  15  18  17  33 183  12]
 [  6   7   9   4  10  18  17  25  68  34]]","              precision    recall  f1-score   support

           0       0.05      0.10      0.06       148
           1       0.31      0.06      0.10      1627
           2       0.33      0.09      0.14      1675
           3       0.26      0.73      0.38      1047
           4       0.18      0.08      0.11      1475
           5       0.01      0.02      0.01       142
           6       0.09      0.22      0.13       245
           7       0.02      0.03      0.02       173
           8       0.24      0.51      0.32       360
           9       0.09      0.17      0.12       198

    accuracy                           0.20      7090
   macro avg       0.16      0.20      0.14      7090
weighted avg       0.25      0.20      0.16      7090
"
